,company_permalink,funding_round_type,raised_amount_usd,category_list,status,country_code,English Langauge
0,-fame,venture,10.0,Media,operating,IND,No
1,21diamonds-india,venture,6.369507,E-Commerce,operating,IND,No
2,247-learning-private,venture,4.0,EdTech|Education|Systems,operating,IND,No
3,3dsoc,venture,1.24,3D|Mobile,operating,IND,No
4,3dsoc,venture,0.825,3D|Mobile,operating,IND,No
5,a-little-world,venture,6.41,Finance,operating,IND,No
6,acb-india-limited,venture,25.09,Energy|Mining Technologies,operating,IND,No
7,adlabs-imagica,venture,8.18,Entertainment|Tourism,operating,IND,No
8,agile,venture,5.74,Finance|Finance Technology|FinTech|Insurance,operating,IND,No
9,agrostar,venture,4.0,E-Commerce,operating,IND,No
10,akosha,venture,16.0,Consumer Internet|Digital Media|Enterprise Software|Mobile,operating,IND,No
11,akosha,venture,5.0,Consumer Internet|Digital Media|Enterprise Software|Mobile,operating,IND,No
12,allied-digital-services,venture,0.175,Consulting,operating,IND,No
13,allygrow-technologies,venture,20.0,Aerospace|Automotive|Engineering Firms|Medical|Medical Devices,operating,IND,No
14,althea-systems,venture,3.0,Hardware + Software,operating,IND,No
15,amagi-media-labs,venture,5.5,Advertising,operating,IND,No
16,ameyo,venture,5.0,Software,operating,IND,No
17,ani-technologies,venture,5.0,Automotive|E-Commerce|Internet|Mobile|Mobile Commerce|Public Transportation|Transportation,operating,IND,No
18,ani-technologies,venture,210.0,Automotive|E-Commerce|Internet|Mobile|Mobile Commerce|Public Transportation|Transportation,operating,IND,No
19,ani-technologies,venture,500.0,Automotive|E-Commerce|Internet|Mobile|Mobile Commerce|Public Transportation|Transportation,operating,IND,No
20,ani-technologies,venture,400.0,Automotive|E-Commerce|Internet|Mobile|Mobile Commerce|Public Transportation|Transportation,operating,IND,No
21,ani-technologies,venture,20.0,Automotive|E-Commerce|Internet|Mobile|Mobile Commerce|Public Transportation|Transportation,operating,IND,No
22,ani-technologies,venture,41.5,Automotive|E-Commerce|Internet|Mobile|Mobile Commerce|Public Transportation|Transportation,operating,IND,No
23,annapurna-microfinace,venture,4.2,Finance,operating,IND,No
24,annapurna-microfinace,venture,5.0,Finance,operating,IND,No
25,anunta-technology-management-services,venture,3.0,Enterprise Software,operating,IND,No
26,apalya,venture,7.5,Content|Digital Media|Entertainment|Mobile|Video Streaming,operating,IND,No
27,apalya,venture,3.0,Content|Digital Media|Entertainment|Mobile|Video Streaming,operating,IND,No
28,apalya,venture,8.0,Content|Digital Media|Entertainment|Mobile|Video Streaming,operating,IND,No
29,apnaloan,venture,2.2,Credit|Finance|Marketplaces,operating,IND,No
30,apnaloan,venture,15.0,Credit|Finance|Marketplaces,operating,IND,No
31,appdra,venture,1.5,Software,operating,IND,No
32,applabs,venture,10.0,Software,acquired,IND,No
33,applect-learning-systems-pvt-ltd,venture,4.0,Education,operating,IND,No
34,applect-learning-systems-pvt-ltd,venture,1.6,Education,operating,IND,No
35,applied-solar-technologies,venture,40.0,Concentrated Solar Power|Electronics|Renewable Energies,operating,IND,No
36,appsdaily-solutions,venture,15.9,Software,operating,IND,No
37,appsdaily-solutions,venture,5.0,Software,operating,IND,No
38,ariisto,venture,12.0,Real Estate,operating,IND,No
39,ariisto,venture,42.0,Real Estate,operating,IND,No
40,arohan-financial,venture,3.5,Finance,operating,IND,No
41,artoo,venture,0.5,Finance|Financial Services|FinTech|Information Technology|Social Entrepreneurship|Software|Technology,operating,IND,No
42,ather-energy,venture,12.0,Automotive|Electric Vehicles,operating,IND,No
43,attero-recycling,venture,16.5,Clean Technology,operating,IND,No
44,attero-recycling,venture,6.3,Clean Technology,operating,IND,No
45,attero-recycling,venture,3.3,Clean Technology,operating,IND,No
46,au-financiers,venture,21.0,E-Commerce,operating,IND,No
47,aujas-networks,venture,3.0,Security,operating,IND,No
48,aujas-networks,venture,2.6,Security,operating,IND,No
49,aujas-networks,venture,5.4,Security,operating,IND,No
50,auro-mira-energy,venture,21.0,Clean Technology,operating,IND,No
51,authorstream,venture,5.0,Collaboration|Curated Web|Presentations,operating,IND,No
52,avesthagen,venture,5.53,Biotechnology,operating,IND,No
53,aye-finance,venture,1.0,Financial Services,operating,IND,No
54,azure-hospitality,venture,10.0,Hospitality,operating,IND,No
55,azure-power,venture,10.0,Clean Technology|Energy|Renewable Energies,operating,IND,No
56,azure-power,venture,15.0,Clean Technology|Energy|Renewable Energies,operating,IND,No
57,azure-power,venture,13.6,Clean Technology|Energy|Renewable Energies,operating,IND,No
58,azure-power,venture,8.6,Clean Technology|Energy|Renewable Energies,operating,IND,No
59,babajob,venture,10.0,Curated Web|Information Technology|Services|Staffing Firms,operating,IND,No
60,babyoye,venture,2.5,E-Commerce,acquired,IND,No
61,bakers-circle,venture,9.6,Food Processing,operating,IND,No
62,bankbazaar,venture,60.0,Credit Cards|Curated Web|Finance|Insurance|Real Estate Investors,operating,IND,No
63,bankbazaar,venture,6.0,Credit Cards|Curated Web|Finance|Insurance|Real Estate Investors,operating,IND,No
64,bankbazaar,venture,13.0,Credit Cards|Curated Web|Finance|Insurance|Real Estate Investors,operating,IND,No
65,bay-talkitec-p,venture,2.5,Messaging,operating,IND,No
66,belong,venture,5.0,Internet,operating,IND,No
67,bestdealfinance,venture,3.0,Financial Services,operating,IND,No
68,bestylish-com,venture,10.0,E-Commerce|Fashion|Shoes,closed,IND,No
69,bharat-light-and-power-group-private-limited,venture,6.1,Clean Technology,operating,IND,No
70,bharat-light-and-power-group-private-limited,venture,9.25,Clean Technology,operating,IND,No
71,bharat-matrimony,venture,11.75,Curated Web|Match-Making,operating,IND,No
72,biba-apparels,venture,48.6,E-Commerce|Fashion|Retail|Women,operating,IND,No
73,bigbasket-com,venture,3.0,E-Commerce|Groceries|Online Shopping,operating,IND,No
74,bigbasket-com,venture,50.0,E-Commerce|Groceries|Online Shopping,operating,IND,No
75,bigbasket-com,venture,32.799999,E-Commerce|Groceries|Online Shopping,operating,IND,No
76,bijlipay,venture,2.0,E-Commerce,operating,IND,No
77,bluegape-lifestyle,venture,0.25,E-Commerce,operating,IND,No
78,bluestone-com,venture,5.0,Curated Web,operating,IND,No
79,bluestone-com,venture,15.8,Curated Web,operating,IND,No
80,bluestone-com,venture,10.0,Curated Web,operating,IND,No
81,bookmycab,venture,6.5,Public Transportation,operating,IND,No
82,bookmyshow,venture,25.0,Entertainment|Entertainment Industry|Ticketing,operating,IND,No
83,bookmyshow,venture,18.0,Entertainment|Entertainment Industry|Ticketing,operating,IND,No
84,box8,venture,3.5,Food Processing,operating,IND,No
85,bti-payments,venture,22.4,Curated Web,operating,IND,No
86,burrp,venture,2.0,Curated Web|Local,operating,IND,No
87,cafe-coffee-day,venture,20.0,Coffee|Specialty Foods,operating,IND,No
88,cafe-coffee-day,venture,51.0,Coffee|Specialty Foods,operating,IND,No
89,canvera-digital-technologies,venture,6.5,Software,operating,IND,No
90,canvera-digital-technologies,venture,0.7,Software,operating,IND,No
91,canvera-digital-technologies,venture,0.873,Software,operating,IND,No
92,canvera-digital-technologies,venture,2.2,Software,operating,IND,No
93,canvera-digital-technologies,venture,0.24,Software,operating,IND,No
94,capital-float,venture,13.0,Financial Services|Small and Medium Businesses,operating,IND,No
95,captronic-systems,venture,3.318,Manufacturing,operating,IND,No
96,capturesolar-energy,venture,125.0,Energy|Environmental Innovation|Renewable Energies|Solar,operating,IND,No
97,caratlane,venture,31.0,E-Commerce|Jewelry,operating,IND,No
98,caratlane,venture,6.0,E-Commerce|Jewelry,operating,IND,No
99,caratlane,venture,15.0,E-Commerce|Jewelry,operating,IND,No
100,caravan,venture,1.282633,Home Decor|Product Search|Retail,operating,IND,No
101,caravan,venture,0.482,Home Decor|Product Search|Retail,operating,IND,No
